hospital
sweet
tea
dancer
farmer
fisherman
policeman
singer
English
Thai
Science
Music
History
park
cinema
classroom
mountain
shop
toilet
zoo
brush
drink
get up
like
sit
talk
watch
who
what
and
white
black
red
yellow
pink
green
purple
blue
brown
sweet
arm
eyebrow
foot
knee
toe
guava
rambutan
breakfast
hamburger
rice
juice
tea
buffalo
giraffe
goat
monkey
snake
zebra
church
cinema
blouse
jacket
pants
shoes
shorts
skirt
socks
T-shirt
blouse
jacket
pants
shoes
shorts
skirt
socks
T-shirt
cloudy
badminton
basketball
bowling
boxing
golf
rugby
swimming
table tennis
cook
dancer
farmer
fisherman
mechanic
policeman
scientist
singer
brush
cook
drink
get up
give
jump
run
talk
watch
aunt
grandfather
grandmother
uncle
fine
sweet
floor
toilet
television
vase
bowl
dish
fork
knife
sink
stove
soap
salt
book store
animal
giraffe
sheep
Cloudy
history
music
science
dancer
mechanic
scientist
bowling
boxing
golf
rugby
Swimming
Table tennis
shark
and
had
does
did
will
would
star
brush
get up
post office
mountain
park
am
are
had
does
did
will
would
basketball
badminton
bowling
golf
boxing
swimming
Eyebrow
Tooth
Grandfather
Grandmother
Eyebrow
Tooth
Grandfather
Grandmother
Uncle
Aunt
English
Thai
Science
Music
History
Toilet
sink
television
soap
vase
stove
table
fork
knife
comb
talk
cook
drink
comb
give
like
watch
post office
health center
health center
star
floor
lemon
cherry
juice
hamburger
cookies
mechanic
scientist
farmer
am
are
had
does
did
will
would
classroom
shop
book store
church
Zoo
cinema
post office
mountain
park
health center
Dad
She
He
My
Family
Pencil
Desk
Eraser
fireman
body
grey
paint
seesaw
sand
slide
this
that
hello
hi
Thank you
Good morning
Good afternoon
Goodbye
sorry
you
we
they
it
butterfly
frog
deer
rat
wolf
corn
cry
happy
sad
sleepy
excited
great
tired
one
two
three
four
five
six
seven
eight
nine
ten
eleven
twelve
thirteen
fourteen
fifteen
sixteen
seventeen
eighteen
nineteen
twenty
mirror
sofa
slipper
pot
cupboard
sugar
tray
at
in
on
under
across
buy
hit
think
help
one
two
three
four
five
six
seven
eight
nine
ten
eleven
twelve
thirteen
fourteen
fifteen
sixteen
seventeen
eighteen
nineteen
twenty
Sunday
Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
January
February
March
April
June
July
August
September
October
November
December
deer
donkey
eagle
frog
gorilla
mouse
ox
puppy
rat
wolf
come
draw
kick
sing
stand
foggy
sunny
windy
chest
curry
dinner
fried rice
lunch
spicy
strawberry
place
child
parent
Good afternoon
Good morning
Goodbye
Hello
Hi
at
in
on
under
bell
boy
door
down
girl
good
he
It
love
my
old
put
she
sun
thank you
That
they
This
tree
up
wall
we
Where
window
you
back
body
chest
elbow
teeth
birthday
New Year’s Day
Sunday
Monday
Tuesday
Wednesday
Thursday
Friday
Saturday
January
February
March
April
June
July
August
September
October
November
December
clothes
blackboard
broom
clock
desk
door
notebook
paper
pencil
radio
school bag
telephone
tree
window
carrot
cucumber
lettuce
mangosteen
onion
tomato
butterfly
mouse
ox
chess
bread
cake
curry
dinner
fish sauce
ice-cream
jam
lunch
milk
pork
sausage
sugar
boxer
carpenter
salesman
soldier
vet
Art
Bicycle
motorcycle
plane
taxi
train
cut
dance
get dressed
ride
see
speak
stand
where
but
violet
grey
thin
hungry
thirsty
thin
good
old
happy
sad
fast
spicy
elbow
teeth
mangosteen
carrot
corn
cucumber
lettuce
onion
tomato
biscuit
bread
cake
cheese
fried chicken
fried fish
hot dog
Ice-cream
jam
toast
milk
orange juice
ostrich
parrot
beach
building
filed
museum
crab
jellyfish
sand
shellfish
mittens
rain coat
scarf
sunglasses
straw hat
sweater
swimming cap
swimming trunks
swimming suit
try on
Two-piece
mittens
rain coat
scarf
sunglasses
straw hat
sweater
swimming cap
swimming trunks
swimming suit
try on
Two-piece
hot season
rainy season
spring
summer
sun
sunny
warm
windy
foggy
baseball
fishing
judo
karate
shooting
skiing
tennis
jasmine
orchid
sunflower
violet
boxer
carpenter
chef
engineer
fireman
guide
photographer
salesman
soldier
bring
buy
collect
draw
dream
hear
help
plant
point
put
ride
see
sing
speak
cousin
family
husband
nephew
niece
wife
each
great
late
round
thirsty
warm
excited
hungry
sleepy
sorry
tired
dining room
kitchen
curtain
magazine
radio
sofa
telephone
cupboard
kettle
oven
refrigerator
toaster
tray
slipper
shampoo
toothbrush
toothpaste
fish sauce
bakery
vet
donkey
gorilla
puppy
eagle
ostrich
parrot
bell
canteen
crayon
geography
mathematics
butcher
cashier
chef
engineer
guide
photographer
bicycle
baseball
judo
karate
sailing
shooting
chess
fishing
jellyfish
shellfish
crab
fast
across
each
but
circle
heart
rectangle
round
square
triangle
hot season
rainy season
spring
summer
break
bring
get dressed
orchid
Plant
sunflower
jasmine
clinic
theater
factory
was
were
shall
should
could
might
must
need
dare
ought  
used  to
bakery
collect
fight
late
tennis
sailing
skiing
Tongue
Bottom
Ears
Bone
Thumb
Tongue
Bottom
Ears
Bone
Thumb
Cousin
Niece
Nephew
Husband
Wife
Parent
Child
Dad
Mathematics
Art
Notebook
Canteen
Blackboard
Crayon
Eraser
Birthday
New year’s Day
dining room
kitchen
toothbrush
toothpaste
shampoo
clock
toaster
refrigerator
kettle
pot
oven
curtain
clothes
mirror
think
pick
paint
cut
break
cry
dance
dream
fight
hear
hit
kick
love
pick
point
taxi
train
motorcycle
plane
circle
heart
rectangle
square
triangle
school bag
geography
paper
seesaw
slide
magazine
wall
broom
strawberry
orange juice
Fried rice
Fried chicken
sausage
Hot dog
toast
pork
Fried fish
cheese
biscuit
Back
Girl
Boy
Come
Up
Down
butcher
cashier
was
were
shall
should
could
might
must
need
dare
ought  
used  to
place
beach
building
filed
museum
clinic
theater
factory
Mum
Baby
stand up
sit down
Book
Ruler
Pen
color
navy blue
step
swing
cola
How are you ?
I’m fine
And you?
Good evening
Good night
hey
his
her
beetle
snail
kiwi
avocado
angry
mad
afraid
bored
scared
Living room
Kitchen room
key
alarm
Air condition
bucket
cleaner
suitcase
fridge
cup
jug
teapot
napkin
between
behind
near
far
In front of
next to
above
before
after
around
beside
out
beneath
yawn
take
drive
sneeze
taste
skip
twenty-one
 twenty-two
 twenty-three
 twenty-four
twenty-five
twenty-six
twenty-seven
twenty-eight
twenty-nine
thirty
gray
  blackboard
  book
  chair
  crayon
  desk
  eraser
  globe
  map
  notebook
  paper
  pen
  pencil
  ruler
  schoolbag
  scissors
  table
  whiteboard
rubber
bull
camel
cobra
cock
fox
goose
hen
panda
pet
toad
wild
rainy
snowy
stormy
stomach
  cap
  coat
  hat
  sandals
  shirt
  shoes
  shorts
  skirt
  socks
fried
sanwich
steam
lichee
longan
Basketball    
Cycling    
Football     
Golf    
Swimming    
Tennis    
grandfather 
grandmother 
 airplane
  ambulance
  bicycle
  boat
  bus
  car
  helicopter
  motorcycle
  ship
  taxi
  train
  truck
  van
fun
game
I
king
left
moon
no
police
queen
right
ring
show
sky
spell
win
yes
First name
Last name
Nickname
Age
cheek
feet
hip
afternoon
evening
morning
night
noon
year
Christmas Day
Mother’s Day
Father’s Day
Loy Kratong Day
Songkran Day
belt
boots
cap
hat
jeans
shirt
tie
trousers
bed
bin
box
chalk
fan
money
picture
thing
bean
cabbage
chili
egg plant
garlic
long bean
potato
rose apple
sugar apple
bug
fly
a cold
an earache
a headache
a sore throat
a stomachace
a toothache
bingo
dominoes
candy
drinks
egg
food
hotdog
ice
meal
meat
chilli
snack
water
bus driver
fruit seller
occupation
ball
balloon
doll
kite
robot
toy
yo-yo
Math
Social Study
Airplane
bike
bus
car
ship
home
river
road
room
farm
cook 
take a bath
when
why
how
little
large
fat
long
tall
short
bad
ugly
beautiful
new
young
quick
slow
sour
sick
salty
plum
rose - apple
chilly
eggplant
ginger
pumpkin
String bean
cereal
cookie
cup cake
doughnut
ham
noodles
porridge
sandwich
scrambled egg
tofu
yogurt
cocoa
green tea
lamonade
milkshake
soda
hamster
shoop
driving
roaster
rock
sea
seaweed
starfish
wave
wind
cool
season
summertime
weather
wet
snow
storm
fencing
gymnastics
hockey
racing
running
snowboarding
paper flower
ixora
lily
lotus
poppy
tulip
astronaut
driver
hairdresser
housekeeper
lawyer
pilot
borrow
feed
make
move
say
sell
shake
smell
use
want
grandparent
grandson
granddaughter
mother in law
parents
busy
calm
careful
clever
complete
cruel
curly
deaf
dumb
enjoy
enough
every
excellent
famous
female
few
final
friendly
funny
handsome
healthy
honest
important
male
many
more
most
much
naughty
nice
only
opposite
other
past
plump
popular
present
proud
public
ready
real
safe
second
slim
smart
some
special
strange
tidy
wavy
wise
wonderful
Boring
full
shy
surprised
unhappy
hut
tent
fence
gate
garden
grass
hall
roof
stairs
carpet
furniture
chopsticks
mug
rice cooker
alarm  clock
bed sheet
blanket
mattress
pillow
towel
Oil
pepper
vinegar
laundry
pharmacy
stationery store
canal
Forest
village
aquarium
cage
crocodile
kangaroo
tortoise
owl
peacock
pigeon
sparrow
air
autumn
breeze
climate
dew
iron the clothes
mop the floor
put on the shirt
take a shower
wash the clothes
absent
college
education
explain
fail
gym
headmaster
janitor
knowledge
meeting room
nursery
pass
primary
principle
bookshelf
calendar
computer
dictionary
duster
paper 
text book
physical education
dressmaker
fire fighter
florist
merchant
musician
pharmacist
plumber
sailor
salesperson 
secretary
typist
waiter
waitress
bridge
crossroad 
motorcycle 
passenger 
railway 
seat 
sky train
traffic jam
traffic light
tricycle
truck 
underground 
account book
baht
banker
code
coin
dollar
exchange
archery
diving
soccer
weightlifting
yoga
Collecting things
dancing
hiking
knitting
listening to music
painting
Playing game
Watching TV
seal
whale
octopus
mammal
Thailand
Cambodia
Laos
Myanmar
Vietnam
Malaysia
Brunei
Singapore
Indonesia
The Philippines
quickly
slowly
well
carefully
loudly
too
not
ago
about
or
because
if
so
cold season
winter
arrive
begin
call
change
Bloom
blossom
bulb
bud
flowerpot
petal
pollen
rose
sepal
stem
tomato plant
sun flower
always
amusement park
weekend
dangerous
early
fierce
foolish
go bike riding
go jogging
newspaper
often
practice the piano
Ride a horse
rope
Roller  coaster
Sports center  
Twice 
usually
tarkrow
petanque
riding
high jump
Father-in-low
Mother-in-low
Brother-in-low
Son-in-low
Daughter-in-low
Children
Twins
Bridegroom
Bride
Mom
Chinese
Social studies
Health education
Uniform
Auditorium
Librarian
Classroom 
Swimming pool
Calculator
Globe
National flag
Halloween
Wedding
Thanksgiving
Christmas
Songkran Festival
children’s Day
valentine’s Day
Buddhist Lent Day
Loykatong Day
bookcase
piano
ladle
bottle
candle
drawer
pillowcase
alarm clock
iron
vacuum cleaner
flashlight
sweep
below
build
blow
carry
catch
chase
clap
climp
count
chop
cough
crawl
hide
dig
dust
exercise
hold
hurt
laugh
hug
kiss
lick
shout
pull
whisper
school bus
car 
ambulance
truck
sebway
raft
sailboat
jeeb
polices station
cylinder
cone
cube
diamond
oval
pyramid
semicircle
Surname 
First Name 
Last Name 
Sex 
Male 
Female 
Hobby 
Age 
Weight 
 Height
Mr. 
Mrs. 
Miss 
pencil box
scissors
whiteboard
glue
cutter
storybook
bench
subject
shelf
exam
begin 
lesson
pomelo
melon
blueberry
mangos teen
vegetable
apple juice
lemonade
Grape juice
beer
Chocolate 
Fruit salad
spaghetti
beef
steak
custard
Boiled egg
dessert
Asleep
Awake
Front
accident
diarrhea
fever
hadache
illness
sickness
stomachache
toothache
movie star
judge
artish
